"('score', 0.7164999999999999)","('C', 0.01)","('data_index', 2)","('kernel_name', 'mismatch')","('mismatch_nb', 1)","('seq_length', 10)"
"('score', 0.7164999999999999)","('C', 0.01)","('data_index', 2)","('kernel_name', 'mismatch')","('mismatch_nb', 1)","('seq_length', 10)"
"('score', 0.7164999999999999)","('C', 0.01)","('data_index', 2)","('kernel_name', 'mismatch')","('mismatch_nb', 1)","('seq_length', 10)"
"('score', 0.7635)","('C', 0.18)","('data_index', 2)","('kernel_name', 'mismatch')","('mismatch_nb', 1)","('seq_length', array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12]))"
"('score', 0.7505)","('C', 0.5)","('data_index', 2)","('kernel_name', 'sum')","('mismatch_nb', 2)","('seq_length', 9)"
"('score', 0.774)","('C', 0.21000000000000002)","('data_index', 2)","('kernel_name', 'mismatch')","('mismatch_nb', [1, 2])","('seq_length', array([13, 12, 11, 10,  9,  8,  7,  6,  5]))"
"('score', 0.665)","('C', 0.2)","('data_index', 2)","('kernel_name', 'substring')","('lambda_ss', 0.75)","('seq_length_ss', 9)"
"('score', 0.6715)","('C', 0.2)","('data_index', 2)","('kernel_name', 'spectrum')","('seq_lenght_sp', 6)"
"('score', 0.7335)","('C', 0.3)","('data_index', 2)","('kernel_name', 'substring')","('lambda_ss', 0.5)","('seq_length_ss', array([11, 10,  9,  8,  7,  6,  5]))"
"('score', 0.7045)","('C', 0.78)","('data_index', 2)","('kernel_name', 'substring')","('lambda_ss', 0.675)","('seq_length_ss', array([11, 10,  9,  8,  7,  6,  5]))"
"('score', 0.6695)","('C', 0.38)","('data_index', 2)","('kernel_name', 'substring')","('lambda_ss', 0.825)","('seq_length_ss', array([11, 10,  9,  8,  7,  6,  5]))"
"('score', 0.6575)","('C', 0.5)","('data_index', 2)","('kernel_name', 'substring')","('lambda_ss', 0.9)","('seq_length_ss', array([11, 10,  9,  8,  7,  6,  5]))"
"('score', 0.6864999999999999)","('C', 0.51)","('data_index', 2)","('kernel_name', 'substring')","('lambda_ss', 0.75)","('seq_length_ss', array([11, 10,  9,  8,  7,  6,  5]))"
"('score', 0.651)","('C', 0.8)","('data_index', 2)","('kernel_name', 'substring')","('lambda_ss', 0.95)","('seq_length_ss', array([11, 10,  9,  8,  7,  6]))"
"('score', 0.6799999999999999)","('C', 0.73)","('data_index', 2)","('kernel_name', 'spectrum')","('seq_lenght_sp', array([3]))"
"('score', 0.6380000000000001)","('C', 0.01)","('data_index', 2)","('kernel_name', 'mismatch')","('mismatch_nb', [1, 2])","('seq_lenght_mm', [8, 10, 12])"
"('score', 0.6380000000000001)","('C', 0.01)","('data_index', 2)","('kernel_name', 'mismatch')","('mismatch_nb', [1, 2])","('seq_lenght_mm', [8, 10, 12])"
"('score', 0.776)","('C', 0.19)","('data_index', 2)","('kernel_name', 'mismatch')","('mismatch_nb', [1, 2])","('seq_length_mm', [7, 11, 8, 10, 12])"
"('score', 0.768)","('C', 0.5800000000000001)","('data_index', 2)","('kernel_name', 'sum')","('lambda_ss', 0.5)","('mismatch_nb', [1, 2])","('seq_length_mm', [13, 12, 11, 10, 9, 8, 7, 6, 5])","('seq_length_sp', 3)","('seq_length_ss', [11, 10, 9, 8, 7, 6, 5])"
"('score', 0.7735)","('C', 0.28)","('data_index', 2)","('kernel_name', 'mismatch')","('mismatch_nb', [1, 2])","('seq_length_mm', array([12, 11, 10,  9,  8,  7,  6,  5]))"
